eps,sparse 2%,sparse 5%,sparse 10%,sparse 20%,sparse 40%,dense
0.0,85.2,87.2,86.6,88.8,90.0,90.7
0.004,75.8,72.7,70.1,73.1,74.5,75.7
0.008,67.3,60.4,54.1,59.0,60.8,60.8
0.012,58.4,48.1,43.0,47.0,47.1,47.4
0.016,51.3,38.3,36.2,36.9,36.2,36.8
0.02,45.9,27.7,29.8,28.5,28.3,27.2
0.024,40.1,20.1,24.6,22.7,22.2,19.9
0.028,36.7,14.8,21.5,18.2,17.0,15.7
0.032,33.4,11.1,18.0,14.4,13.0,12.8
0.036000000000000004,29.6,9.2,15.8,11.6,9.3,10.4
0.04,27.0,7.1,12.7,9.8,6.8,8.6
0.044,25.0,5.5,10.7,8.0,4.3,6.2
0.048,23.1,4.7,8.4,7.1,2.6,5.5
0.052000000000000005,21.3,3.4,7.1,6.1,1.9,5.1
0.056,19.7,2.5,6.6,5.1,1.2,4.0
0.06,18.1,2.0,5.7,4.2,0.9,3.0
0.064,17.2,1.9,5.0,3.4,0.8,2.2
0.068,15.7,1.8,4.1,2.9,0.5,1.9
0.07200000000000001,14.5,1.6,3.6,2.5,0.4,1.9
0.076,13.3,1.3,3.4,1.8,0.3,1.8
0.08,12.8,1.2,2.5,1.6,0.2,1.6
0.084,11.8,1.0,2.2,1.2,0.2,1.5
0.088,10.8,0.9,2.2,1.2,0.2,1.6
0.092,10.6,0.9,2.1,1.2,0.2,1.6
0.096,9.9,0.9,2.0,1.2,0.2,1.6
0.1,9.4,1.0,1.9,1.1,0.2,1.6
